ULAS,imag,e_imag,zmag,e_zmag,Ymag,e_Ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,PhType,chi2,SpType,Ref,Simbad,_RA,_DE
J000005.87+152354.4,21.3,0.13,19.5,0.12,18.47,0.04,17.27,0.03,16.51,0.03,15.92,0.03,     ,     ,     ,     ,L2:    ,2.22,       ,  ,Simbad,0.02446,15.39844
J000100.45+065259.6,18.62,0.02,16.56,0.02,15.7,0.01,14.76,0.01,14.08,0.01,13.54,0.01,13.33,0.02,13.02,0.03,L0     ,5.62,       ,  ,Simbad,0.25187,6.88322
J000112.24+153534.3,19.92,0.04,17.99,0.03,16.88,0.01,15.46,0.01,14.48,0.01,13.62,0.01,12.97,0.02,12.54,0.02,L5.5p  ,55.82,L4     ,11,Simbad,0.301,15.59286
J000131.90+073528.1,21.02,0.06,19.08,0.06,18.13,0.03,17.18,0.02,16.43,0.03,15.9,0.03,15.65,0.05,15.38,0.1,L0     ,3.75,       ,  ,Simbad,0.38292,7.59114
J000158.77+020759.6,20.77,0.06,18.62,0.04,17.75,0.02,16.59,0.01,15.94,0.01,15.36,0.01,15.06,0.04,14.8,0.07,L1     ,3.78,       ,  ,Simbad,0.49487,2.13322
J000301.44+110218.4,20.52,0.05,18.49,0.04,17.6,0.02,16.6,0.01,15.91,0.02,15.35,0.02,15.08,0.04,14.84,0.07,L0     ,1.79,       ,  ,Simbad,0.756,11.03844
J000317.74+134519.5,20.66,0.07,18.82,0.06,17.87,0.03,16.95,0.02,16.27,0.02,15.75,0.02,15.4,0.04,15.2,0.09,L0     ,6.08,       ,  ,Simbad,0.82392,13.75542
J000334.77-001258.8,20.68,0.06,18.74,0.04,17.9,0.03,16.69,0.02,15.88,0.02,15.21,0.02,14.86,0.03,14.68,0.06,L2     ,8.45,L1.5:  ,6,Simbad,0.89487,-0.21633
J000449.16+071036.2,20.82,0.06,18.81,0.04,17.98,0.04,16.93,0.02,16.26,0.03,15.7,0.02,15.34,0.04,15.07,0.08,L0.5   ,1.6,       ,  ,Simbad,1.20483,7.17672
J000456.50+045131.1,22.01,0.31,19.77,0.19,18.98,0.07,17.47,0.03,16.64,0.03,15.92,0.02,15.28,0.04,15.14,0.1,L4.5   ,6.23,       ,  ,Simbad,1.23542,4.85864
J000555.68+093554.9,20.47,0.07,18.29,0.05,17.38,0.02,16.34,0.01,15.76,0.01,15.23,0.01,14.96,0.04,14.63,0.06,L0     ,5.83,       ,  ,Simbad,1.482,9.59858
J000646.79+151225.7,20.64,0.06,18.57,0.06,17.57,0.02,16.21,0.01,15.38,0.01,14.7,0.01,14.15,0.03,13.9,0.04,L4     ,4.4,L4:    ,6,Simbad,1.69496,15.20714
J000655.45+023635.6,20.77,0.05,18.59,0.05,17.7,0.02,16.29,0.01,15.37,0.01,14.65,0.01,14.09,0.03,13.78,0.04,L4.5   ,6.17,       ,  ,Simbad,1.73104,2.60989
J000740.29+014318.3,21.07,0.07,19.06,0.05,18.12,0.04,16.77,0.02,16,0.02,15.24,0.01,14.72,0.03,14.34,0.06,L4     ,5.42,       ,  ,Simbad,1.91787,1.72175
J000812.84+080642.1,20.69,0.05,18.65,0.04,17.62,0.03,16.56,0.02,15.86,0.02,15.32,0.02,14.96,0.04,14.61,0.06,L1.5   ,5.12,       ,  ,Simbad,2.0535,8.11169
J000844.34+012729.4,     ,     ,     ,     ,18.2,0.04,16.99,0.02,17.4,0.06,17.54,0.1,17.02,0.14,14.83,0.07,T6.5:  ,1.26,       ,  ,Simbad,2.18475,1.45817
J000949.60+062525.1,21.46,0.09,19.28,0.06,18.28,0.04,16.99,0.02,16.25,0.02,15.73,0.02,15.14,0.04,15.12,0.09,L2.5   ,14.84,       ,  ,Simbad,2.45667,6.42364
J001201.55+014137.9,21.48,0.16,19.42,0.08,18.41,0.05,17.24,0.03,16.55,0.03,15.98,0.02,15.6,0.05,15.51,0.11,L1.5   ,4.54,       ,  ,Simbad,3.00646,1.69386
J001234.13+111623.2,21.31,0.12,19.72,0.14,18.53,0.05,17.47,0.03,16.86,0.04,16.26,0.04,15.82,0.05,15.68,0.16,L1     ,7.47,       ,  ,Simbad,3.14221,11.27311
J001306.32+050851.2,20.91,0.09,19.04,0.09,18.1,0.03,16.75,0.02,15.72,0.01,14.91,0.01,14.33,0.03,13.97,0.04,L5p    ,25.83,       ,  ,Simbad,3.27633,5.14756
J001334.74+110940.0,20.29,0.05,18.14,0.04,16.98,0.01,15.73,0.01,14.84,0.01,14.1,0.01,13.61,0.03,13.24,0.03,L4.5   ,10.36,       ,  ,Simbad,3.39475,11.16111
J001514.83+024803.9,19.71,0.03,17.7,0.03,16.81,0.01,15.76,0.01,15.1,0.01,14.48,0.01,14.1,0.03,13.78,0.04,L1     ,4.05,       ,  ,Simbad,3.81179,2.80108
J001530.83+070148.2,19.67,0.03,17.57,0.02,16.7,0.01,15.74,0.01,15.16,0.01,14.6,0.01,14.33,0.03,14,0.04,L0     ,6.21,       ,  ,Simbad,3.87846,7.03006
J001608.49-004302.2,20.82,0.06,18.62,0.04,17.7,0.02,16.3,0.01,15.34,0.01,14.51,0.01,13.84,0.03,13.39,0.03,L5.5   ,19.7,L5.5   ,11,Simbad,4.03537,-0.71728
J001804.88+121511.2,21.39,0.12,19.36,0.1,18.53,0.04,17.48,0.03,16.86,0.03,16.29,0.04,15.91,0.06,15.73,0.15,L0.5   ,1.71,       ,  ,Simbad,4.52033,12.25311
J001851.67+044044.5,21.14,0.11,19.26,0.1,18.43,0.04,17.32,0.03,16.72,0.03,16.21,0.03,15.96,0.06,15.53,0.13,L0     ,2.96,       ,  ,Simbad,4.71529,4.67903
J001917.08+024820.7,19.83,0.03,17.84,0.04,16.92,0.01,15.98,0.01,15.34,0.01,14.78,0.01,14.5,0.03,14.27,0.05,L0     ,3.39,       ,  ,Simbad,4.82117,2.80575
J001950.04+031529.6,19.47,0.03,17.51,0.03,16.62,0.01,15.66,0.01,14.91,0.01,14.37,0.01,14.18,0.03,13.91,0.04,L0     ,5.96,       ,  ,Simbad,4.9585,3.25822
J002030.82+140845.5,21.52,0.12,19.38,0.08,18.52,0.04,17.35,0.02,16.52,0.03,15.89,0.03,15.34,0.04,15.24,0.11,L3     ,3.5,       ,  ,Simbad,5.12842,14.14597
J002058.50+063609.0,20.82,0.07,18.97,0.06,17.9,0.03,16.97,0.02,16.35,0.02,15.81,0.03,15.55,0.05,15.52,0.12,L0     ,10.61,       ,  ,Simbad,5.24375,6.6025
J002110.55+000413.4,21.14,0.07,19.18,0.07,18.28,0.04,17.24,0.03,16.6,0.03,16.04,0.03,15.76,0.05,15.77,0.16,L0     ,3.05,       ,  ,Simbad,5.29396,0.07039
J002138.89+002605.6,21.03,0.08,19.24,0.07,18.64,0.06,17.34,0.03,16.59,0.03,16.09,0.03,15.76,0.05,15.35,0.1,L1     ,19.95,L1.5   ,10,Simbad,5.41204,0.43489
J002327.75+110948.0,21.01,0.09,19.13,0.07,18.07,0.03,16.87,0.02,16.1,0.02,15.51,0.02,15.08,0.04,14.91,0.07,L2.5   ,6.02,       ,  ,Simbad,5.86562,11.16333
J002346.34+071544.0,21.26,0.07,19.2,0.06,18.27,0.04,17.24,0.03,16.55,0.03,16.02,0.03,15.83,0.05,15.42,0.11,L0.5   ,3.62,       ,  ,Simbad,5.94308,7.26222
